badflag,customer_data_quality_flag,last_payment_amount,current_payment_method_fdd,pay_12m_balance_ratio,total_days_in_collection,total_balance,debt_age_weeks,analysis_date,new_account_number
1,0,0,0,,84,17.33,60,31/12/2021,156
0,1,133,1,-5.9344916,0,160.36,5,31/12/2021,157
0,1,146,1,-12.445198,0,88.81,1,31/12/2021,158
0,1,0,0,-0.30497912,87,2252.45,56,31/12/2021,159
0,1,34,1,-0.624025,0,278.45,24,31/12/2021,160
0,1,118,1,-5.9404316,0,83.17,7,31/12/2021,161
0,1,0,0,-6.4197288,0,71.91,1,31/12/2021,162
1,0,0,0,-0.40469447,36,88.84,7,31/12/2021,163
0,1,0,0,-0.7133012,0,77.06,1,31/12/2021,164
1,0,0,0,,84,925.55,31,31/12/2021,165
1,1,0,0,,84,2017.01,93,31/12/2021,166
0,1,125,1,-10.3898735,0,88.75,0,31/12/2021,167
1,0,0,0,,,11.7,15,31/12/2021,168
1,0,0,0,,71,13.23,12,31/12/2021,169
0,0,52,1,-0.71021324,0,399.37,14,31/12/2021,170
0,1,300,1,-9.325182,0,248.44,18,31/12/2021,171
0,1,45,1,-3.03485,0,20.99,1,31/12/2021,172
1,0,0,0,,69,422.89,4,31/12/2021,173
0,1,24,0,-0.30309096,29,339.73,30,31/12/2021,174
1,1,0,0,-0.039333053,84,2786.63,107,31/12/2021,175
0,1,10,1,-2.7385893,0,110.5,24,31/12/2021,176
0,1,85,1,-2.5895708,0,62.68,1,31/12/2021,177
1,0,0,0,,0,115.54,1,31/12/2021,178
0,1,55,1,-0.29072836,22,54.39,5,31/12/2021,179
0,1,90,1,-103.763756,0,2.36,3,31/12/2021,180
0,1,0,0,-2.4854739,34,210.98,2,31/12/2021,181
0,1,69,1,-8.7704525,0,61.75,2,31/12/2021,182
0,0,0,0,,,154.12,13,31/12/2021,183
0,1,42,1,-1.0157347,0,125.37,4,31/12/2021,184
1,0,0,0,,30,50.39,24,31/12/2021,185
1,1,0,0,,84,5337.25,87,31/12/2021,186
0,1,0,0,-0.77500576,0,424.9,1,31/12/2021,187
0,1,0,0,-13.886908,30,39.34,3,31/12/2021,188
0,1,157,1,-5.8571906,0,260.15,8,31/12/2021,189
1,1,0,0,,84,2539.22,93,31/12/2021,190
0,0,186,1,-8.18582,0,127.23,1,31/12/2021,191
1,0,0,0,,16,15.68,4,31/12/2021,192
0,1,0,0,-4.0652876,37,123.41,4,31/12/2021,193
1,1,0,0,,84,79.47,29,31/12/2021,194
1,0,0,0,-1.1981742,0,42.58,0,31/12/2021,195
1,1,0,0,,55,286.31,12,31/12/2021,196
1,0,0,0,-0.31497565,36,513.85,7,31/12/2021,197
1,0,0,0,-9.028781,6,47.33,2,31/12/2021,198
1,0,0,0,,,130.57,11,31/12/2021,199
1,1,26,0,-0.5664174,84,1545.39,75,31/12/2021,200
1,0,0,0,,81,429.32,19,31/12/2021,201
1,1,0,0,,55,181.15,52,31/12/2021,202
0,1,0,0,,36,18.98,7,31/12/2021,203
0,1,55,1,-7.978186,0,39.51,3,31/12/2021,204
0,1,113,1,-33.06327,0,15.92,1,31/12/2021,205
0,1,26,1,-8.288043,0,19.44,1,31/12/2021,206
1,1,114,1,-0.72383803,0,1419.27,5,31/12/2021,207
0,1,44,1,-1.0596886,0,82.48,1,31/12/2021,208
0,0,0,0,-3.0639083,0,17.07,1,31/12/2021,209
0,1,0,0,-6.4542007,0,69.15,2,31/12/2021,210
1,1,0,0,,84,4224.02,101,31/12/2021,211
0,0,0,0,-0.871896,81,283.98,11,31/12/2021,212
1,0,0,0,,,972.94,14,31/12/2021,213
0,0,0,0,-5.440181,7,182.33,3,31/12/2021,214
0,1,0,0,-1.4284649,0,298.24,1,31/12/2021,215
0,1,0,0,,,360.69,7,31/12/2021,216
1,1,14,0,-0.28808042,84,2982.22,93,31/12/2021,217
0,1,85,1,-0.3379905,0,191.84,0,31/12/2021,218
1,1,0,0,-12.704556,65,155.48,1,31/12/2021,219
0,1,0,0,-4.1364746,34,75.95,1,31/12/2021,220
0,1,177,1,-2.0593622,0,429,12,31/12/2021,221
0,1,163,1,-71.29141,0,3.28,7,31/12/2021,222
1,1,0,0,,84,339.48,72,31/12/2021,223
0,1,0,0,-4.350975,0,104.88,0,31/12/2021,224
0,0,85,1,-1.2470465,0,66.18,1,31/12/2021,225
1,1,32,0,-4.3360434,35,82.25,5,31/12/2021,226
1,1,0,0,-8.185257,75,677.8,0,31/12/2021,227
1,1,0,0,,84,2623.8,93,31/12/2021,228
0,1,0,0,-9.455812,4,86.86,1,31/12/2021,229
0,1,0,0,-3.9536078,10,89.37,1,31/12/2021,230
0,1,0,0,-1,4,26.81,2,31/12/2021,231
1,0,0,0,,84,1781.6,77,31/12/2021,232
0,1,0,0,-4.8427052,8,29.48,3,31/12/2021,233
0,1,0,0,-23.525232,0,48.26,3,31/12/2021,234
0,1,87,1,-13.257862,0,69.5,3,31/12/2021,235
0,1,0,0,-11.370378,83,40.3,27,31/12/2021,236
0,1,121,1,-86.656204,0,3.06,4,31/12/2021,237
1,0,0,0,,,1029.46,26,31/12/2021,238
0,1,100,1,-5.575666,83,119.12,18,31/12/2021,239
1,1,0,0,-0.16119245,84,3153.92,107,31/12/2021,240
0,1,0,0,-14.42786,1,6.08,11,31/12/2021,241
1,1,0,0,-2.3917646,73,530.35,12,31/12/2021,242
1,0,0,0,,79,383.11,16,31/12/2021,243
1,1,0,0,,84,863.07,107,31/12/2021,244
1,1,0,0,-0.8961863,84,295.74,43,31/12/2021,245
0,1,30,1,-13.288666,0,7.91,2,31/12/2021,246
1,1,0,0,-0.020735526,84,8188.49,52,31/12/2021,247
0,1,146,1,-14.876424,0,108.55,2,31/12/2021,248
0,1,104,1,-85.37906,0,1.08,2,31/12/2021,249
1,0,0,0,,0,77.22,2,31/12/2021,250
0,1,0,0,-1.383636,0,43.41,0,31/12/2021,251
1,0,0,0,,0,27.85,3,31/12/2021,252
0,0,0,0,-4.350638,84,79.38,16,31/12/2021,253
0,1,0,0,-3.6468966,39,363.63,5,31/12/2021,254
0,1,59,1,-36.819027,0,9.34,0,31/12/2021,255
0,0,112,1,-3.1126966,0,113.34,2,31/12/2021,256
0,0,232,1,-17.984869,0,106.32,3,31/12/2021,257
0,1,0,0,-1.8916713,51,205.64,6,31/12/2021,258
1,0,0,0,-0.25954217,83,1186.53,26,31/12/2021,259
0,1,84,1,-3.6505866,0,28.35,5,31/12/2021,260
0,1,0,0,-2.3327773,35,181.84,6,31/12/2021,261
0,1,113,1,-2.9918377,0,235.03,6,31/12/2021,262
1,0,29,0,,42,301.84,8,31/12/2021,263
1,0,0,0,,84,1591.12,107,31/12/2021,264
0,0,40,0,-7.6471868,0,36.03,11,31/12/2021,265
0,1,0,0,-1.0158117,0,72.85,1,31/12/2021,266
0,1,100,1,-3.2819753,0,64.12,0,31/12/2021,267
0,1,0,0,,,1373.68,11,31/12/2021,268
0,1,29,1,-16.585068,0,6.34,2,31/12/2021,269
1,1,0,0,-2.8422205,0,17.38,1,31/12/2021,270
0,0,0,0,-0.24854447,74,361,12,31/12/2021,271
1,0,0,0,,84,2623.86,80,31/12/2021,272
0,1,0,0,-2.5640173,62,290.31,6,31/12/2021,273
0,1,83,1,-8.969002,0,92.91,9,31/12/2021,274
0,0,0,0,,0,103.68,0,31/12/2021,275
1,1,248,0,-0.113978244,84,2692.27,104,31/12/2021,276
0,1,51,1,-11.734981,0,25.62,3,31/12/2021,277
1,1,0,0,,44,2476.79,23,31/12/2021,278
1,0,0,0,-4.468275,0,1.19,26,31/12/2021,279
0,1,91,1,-5.7729583,0,180.89,2,31/12/2021,280
0,1,58,1,-8.132457,0,31.07,5,31/12/2021,281
1,1,11,0,-0.025367541,84,8682.21,91,31/12/2021,282
1,1,0,0,,84,4468.38,107,31/12/2021,283
0,0,0,0,-6.8616247,41,20.28,1,31/12/2021,284
0,1,20,1,-0.50841945,0,481.72,22,31/12/2021,285
0,1,0,0,-3.7843397,0,35.21,1,31/12/2021,286
0,0,0,0,-3.9125688,0,106.32,2,31/12/2021,287
1,0,0,0,,30,593.31,6,31/12/2021,288
1,0,100,1,,0,127.59,1,31/12/2021,289
1,1,0,0,,84,2619.6,57,31/12/2021,290
1,0,0,0,,82,117.01,20,31/12/2021,291
1,1,0,0,,84,2380.43,93,31/12/2021,292
1,1,0,0,,84,152.05,31,31/12/2021,293
0,1,278,1,-2.7543674,0,348.34,4,31/12/2021,294
0,1,113,1,-23.710268,0,47.95,0,31/12/2021,295
0,0,20,1,-1.2743492,0,44.93,1,31/12/2021,296
1,1,0,0,,84,1384.88,103,31/12/2021,297
1,1,0,0,-1.6297944,83,79.95,16,31/12/2021,298
0,1,40,1,-13.12336,0,9.05,3,31/12/2021,299
1,0,0,0,,,279.38,1,31/12/2021,300
0,0,59,1,-1.1697636,0,49.2,0,31/12/2021,301
1,1,0,0,-0.13780358,84,1862.23,69,31/12/2021,302
1,1,0,0,,51,120.63,19,31/12/2021,303
0,1,40,1,-11.899877,0,14.37,0,31/12/2021,304
0,0,75,1,,0,88.17,0,31/12/2021,305
0,1,0,0,,31,61.23,7,31/12/2021,306
0,1,85,1,-0.7908758,0,110.12,1,31/12/2021,307
0,1,60,1,-0.6860692,0,266.94,0,31/12/2021,308
0,1,132,1,-26.091173,0,10.62,1,31/12/2021,309
1,0,0,0,,22,92.85,5,31/12/2021,310
0,1,69,1,-3.732716,0,85.03,3,31/12/2021,311
0,1,0,0,-1.0839161,16,30.04,4,31/12/2021,312
0,1,0,0,-3.9233022,24,170.97,5,31/12/2021,313
0,1,74,1,-16.826004,0,47.53,0,31/12/2021,314
0,1,0,0,-1.4591911,39,155.16,7,31/12/2021,315
0,1,74,1,-0.3921245,0,959.08,9,31/12/2021,316
1,0,0,0,,83,82.59,32,31/12/2021,317
1,1,0,0,-0.05527631,84,2703.64,76,31/12/2021,318
1,0,0,0,,81,37.79,20,31/12/2021,319
0,0,0,0,-5.779648,0,16.14,0,31/12/2021,320
0,1,40,1,-1.4794034,0,147.55,1,31/12/2021,321
1,1,0,0,-1.3196065,84,2483.66,34,31/12/2021,322
0,1,0,0,-7.134038,0,56.25,3,31/12/2021,323
0,1,159,1,-3.7100067,0,186.97,0,31/12/2021,324
0,1,155,1,-11.158036,0,105.29,8,31/12/2021,325
0,1,54,1,-1.2376772,0,128.97,2,31/12/2021,326
1,1,0,0,,0,94.45,1,31/12/2021,327
0,1,206,0,-1.0470806,22,517.18,14,31/12/2021,328
1,1,150,1,-0.044220522,84,7000.32,99,31/12/2021,329
1,1,0,0,,80,2299.52,73,31/12/2021,330
0,1,86,1,-5.101991,0,195.41,13,31/12/2021,331
1,1,0,0,,84,822.38,15,31/12/2021,332
0,1,0,0,-1.156515,23,54.85,5,31/12/2021,333
0,1,0,0,-0.6875064,0,185.3,1,31/12/2021,334
1,1,0,0,,84,1501.92,93,31/12/2021,335
0,1,150,1,-19.045593,56,131.47,5,31/12/2021,336
0,1,167,1,-11.026367,0,81.78,2,31/12/2021,337
1,0,0,0,-0.93406594,69,57.34,11,31/12/2021,338
0,1,0,0,-7.202367,0,107.46,0,31/12/2021,339
0,1,0,0,-9.741756,0,78.25,0,31/12/2021,340
1,1,0,0,-0.07320466,84,809.62,33,31/12/2021,341
0,1,0,0,-10.290219,0,46.13,2,31/12/2021,342
1,0,0,0,,0,11.05,4,31/12/2021,343
0,1,108,0,-0.49909458,,442.82,14,31/12/2021,344
0,1,66,1,-2.0588887,0,80.34,2,31/12/2021,345
1,0,0,0,,8,47.31,3,31/12/2021,346
0,1,0,0,-7.5119967,7,93.36,0,31/12/2021,347
0,1,0,0,,0,124.97,1,31/12/2021,348
0,0,0,0,-1.3809587,36,366.55,7,31/12/2021,349
1,1,0,0,-0.13780358,84,1862.23,69,31/12/2021,350
1,0,0,0,,48,39.7,10,31/12/2021,351
0,0,0,0,-9.797854,0,2.12,22,31/12/2021,352
0,1,152,1,-6.8499126,38,35.84,12,31/12/2021,353
0,1,0,0,-0.50059223,84,884.94,11,31/12/2021,354
0,0,150,1,-1.1785558,0,858.86,14,31/12/2021,355
0,1,149,1,-5.9186893,0,218.26,2,31/12/2021,356
1,1,0,0,-0.4691204,84,791.5,93,31/12/2021,357
0,1,0,0,-2.5576167,36,96.74,7,31/12/2021,358
0,1,62,1,-14.855235,0,27.44,3,31/12/2021,359
0,0,0,0,-0.070746146,37,1530.72,1,31/12/2021,360
0,0,52,1,-5.1427646,0,113.28,0,31/12/2021,361
1,0,0,0,,84,2379.55,107,31/12/2021,362
1,0,0,0,,84,5520.96,101,31/12/2021,363
0,1,154,1,-60.74863,0,10.09,0,31/12/2021,364
1,0,0,0,,84,651.42,50,31/12/2021,365
0,0,0,0,-1.4803846,32,120,3,31/12/2021,366
1,0,0,0,,84,1499.4,96,31/12/2021,367
0,1,0,0,-20.440945,0,24.29,3,31/12/2021,368
1,1,10,1,-0.5527916,0,188.99,27,31/12/2021,369
0,0,250,1,-0.6109166,0,415.59,1,31/12/2021,370
1,0,0,0,,,8.16,9,31/12/2021,371
0,1,47,1,-27.464115,0,10.9,0,31/12/2021,372
0,1,99,1,-12.263794,0,42.92,5,31/12/2021,373
1,0,0,0,,84,10319.52,108,31/12/2021,374
0,1,30,1,-5.216221,0,49.43,0,31/12/2021,375
1,0,0,0,,71,277.23,12,31/12/2021,376
0,1,60,1,-1.9688755,0,360.77,2,31/12/2021,377
1,1,0,0,,84,1678.14,83,31/12/2021,378
0,1,89,1,-1.7471584,0,191.47,20,31/12/2021,379
0,1,0,0,-5.337462,21,26.33,0,31/12/2021,380
0,1,0,0,-0.08997458,84,434.57,46,31/12/2021,381
0,1,0,0,-3.1698387,23,142.38,0,31/12/2021,382
0,1,170,1,-0.66342324,0,261.32,1,31/12/2021,383
1,1,0,0,-0.25596395,81,478.35,20,31/12/2021,384
0,0,134,1,-2.9441717,0,106.07,1,31/12/2021,385
0,1,0,0,-1.6747302,16,151.22,3,31/12/2021,386
0,0,0,0,-1.4258279,42,677.32,8,31/12/2021,387
1,0,0,0,,84,13969.26,107,31/12/2021,388
1,0,0,0,,83,82.79,26,31/12/2021,389
1,1,0,0,-0.28646147,69,1072.17,7,31/12/2021,390
1,1,0,0,,84,2847.89,101,31/12/2021,391
0,1,0,0,-0.97843045,10,246.38,3,31/12/2021,392
0,1,0,0,,22,39.91,7,31/12/2021,393
0,1,0,0,-13.500661,13,27.85,3,31/12/2021,394
0,1,65,1,-3.5077739,0,42.74,4,31/12/2021,395
0,1,124,1,-25.959713,0,35.92,2,31/12/2021,396
0,1,25,1,-15.511551,0,5.15,1,31/12/2021,397
1,0,18,1,-0.5402601,0,645.24,13,31/12/2021,398
0,1,15,1,-1.674179,0,67.65,11,31/12/2021,399
0,1,49,1,-1.2056655,0,160.86,1,31/12/2021,400
0,1,23,1,-4.5728908,0,110.18,16,31/12/2021,401
0,1,0,0,-1.6489829,84,1439.73,35,31/12/2021,402
0,0,150,1,-2.7137864,0,384.81,7,31/12/2021,403
0,0,41,1,-2.2288508,0,69.79,6,31/12/2021,404
0,1,313,1,-25.57413,0,172.45,1,31/12/2021,405
0,1,98,1,-7.430136,0,76.74,6,31/12/2021,406
1,1,0,0,,84,656.1,32,31/12/2021,407
0,1,0,0,-51.737453,0,0.36,0,31/12/2021,408
0,0,0,0,-4.856008,24,263.21,5,31/12/2021,409
0,1,24,1,-2.1756122,0,28.38,1,31/12/2021,410
0,1,0,0,,,213.33,0,31/12/2021,411
1,1,0,0,,0,2.28,31,31/12/2021,412
0,1,28,1,-2.9589198,0,59.62,4,31/12/2021,413
0,1,0,0,-1.6492407,36,311.36,7,31/12/2021,414
0,1,0,0,-2.3945198,36,319.92,7,31/12/2021,415
0,1,0,0,-2.988225,19,46.9,2,31/12/2021,416
0,1,39,1,-5.263158,0,36.36,1,31/12/2021,417
1,0,0,0,,84,1440.23,92,31/12/2021,418
0,0,120,1,-1.7034724,0,182.09,0,31/12/2021,419
1,1,0,0,,0,358.22,1,31/12/2021,420
1,1,0,0,,84,1094.22,42,31/12/2021,421
1,0,0,0,,83,81.99,24,31/12/2021,422
0,1,0,0,-9.267046,0,91.93,0,31/12/2021,423
0,1,137,1,-3.3133423,0,158.41,1,31/12/2021,424
0,1,18,1,-11.801566,0,9.15,1,31/12/2021,425
1,1,0,0,,84,706.87,45,31/12/2021,426
0,1,76,1,-3.621236,0,172.99,10,31/12/2021,427
1,0,0,0,,0,5.18,19,31/12/2021,428
0,1,20,1,-3.0270655,0,46.16,6,31/12/2021,429
0,1,0,0,-1.4284649,0,298.24,1,31/12/2021,430
0,0,0,0,-1.4258279,42,677.32,8,31/12/2021,431
0,1,14,1,-7.3037114,0,28.26,1,31/12/2021,432
0,1,0,0,-1.3532934,5,70.16,2,31/12/2021,433
0,1,74,1,-2.4725568,0,83.83,0,31/12/2021,434
0,1,148,1,-23.644388,0,21.72,2,31/12/2021,435
0,1,61,1,-15.995417,0,29.27,0,31/12/2021,436
1,0,0,0,,84,1863.59,107,31/12/2021,437
1,1,0,0,-0.27562857,84,704.73,35,31/12/2021,438
0,1,107,1,-120.47952,0,0.01,5,31/12/2021,439
0,0,0,0,-4.189672,0,20.79,1,31/12/2021,440
1,1,0,0,-0.059674677,84,4598.32,103,31/12/2021,441
0,1,88,1,-1.9556025,80,292.72,9,31/12/2021,442
0,1,150,1,-2.1251135,0,474.68,3,31/12/2021,443
0,1,110,1,-1.2235858,0,807.27,29,31/12/2021,444
0,1,49,1,-4.9152946,0,31.91,2,31/12/2021,445
0,1,0,0,-19.650518,17,70.92,4,31/12/2021,446
1,1,0,0,,84,2383.37,93,31/12/2021,447
0,1,60,1,-1.9876891,0,145.96,7,31/12/2021,448
0,0,83,1,-1.3242896,0,503.06,15,31/12/2021,449
1,1,0,0,,38,21.78,9,31/12/2021,450
0,1,56,1,-0.89528143,18,126.27,11,31/12/2021,451
0,1,134,1,-28.942408,0,37.75,2,31/12/2021,452
1,0,0,0,,37,280.89,7,31/12/2021,453
0,0,0,0,-2.7536883,5,94.38,0,31/12/2021,454
0,1,6,1,-0.3406872,0,230.69,13,31/12/2021,455
1,0,0,0,,84,398.67,44,31/12/2021,456
